l_host_is_superhost,n_host_listings_count,n_host_verifications,l_host_has_profile_pic,l_host_identity_verified,f_property_type,n_accommodates,n_bedrooms,n_beds,n_min_nights,l_has_availability,n_sales_30,n_sales_60,n_sales_90,n_sales_365,n_number_of_reviews,n_review_scores_rating,l_instant_bookable,n_reviews_per_month,f_neighbourhood_cleansed,n_bathrooms,usd_price,flag_reviews_per_month,flag_review_scores_rating,n_days_since_1st,n_days_since_last,d_Cleaning_before_checkout,d_Extra_pillows_and_blankets,d_First_aid_kit,d_High_chair,d_Iron,d_Patio_or_balcony,d_Private_entrance,d_Room_darkening_shades,d_Single_level_home,d_Waterfront,d_Window_guards,d_wifi,d_HDTV,d_Dedicated__Workspace,d_Paid__Parking,d_Free__Parking,d_Refrigerator,d_Fitness,d_stove,d_shampoo,d_hot__water,d_Washer,d_air__condition,d_Smart__Lock,d_Dryer,d_Kitchen,d_Oven,d_Children,d_Microwave,d_garden,d_breakfast,d_Bed_linens,d_Bread_maker,d_Building_staff,d_Carbon_monoxide_alarm,d_Coffee_maker,d_Cooking_basics,d_Dishes_and_silverware,d_Elevator,d_Essentials,d_Fire_extinguisher,d_Hangers,d_Heating,d_Host_greets_you,d_Indoor_fireplace,d_Keypad,d_Long_term_stays_allowed,d_Luggage_dropoff_allowed,usd_price_ln,n_days_since_last_ln,n_days_since_1st_ln,n_accommodates_ln,n_accommodates_ln2,n_accommodates_2,f_has_1_review_monthly,f_review_scores_rating,f_number_of_reviews,f_sales_365,f_sales_90,f_sales_60,f_sales_30,f_min_nights,f_beds,f_bedrooms,f_bathrooms,f_host_listing,flag_n_days_since,f_host_accepts_all
0,1,6,1,1,apartment,6,2,3,7,1,7,7,7,282,17,95,0,0.17,Vadhana,3,107.679,0,0,2965,2094,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,4.679154579077664,7.646831391430482,7.994632311431825,1.791759469228055,3.210401995568401,216,1,2,2,3,1,1,1,3,10,2,3,1,0,0
1,43,7,1,1,apartment,3,1,1,200,1,30,60,90,365,35,91,1,0.34,Yan na wa,1,32.901,0,0,3113,661,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.4935030524461816,6.493753839851686,8.043342170441608,1.0986122886681098,1.206948960812582,27,1,2,2,3,3,1,2,3,3,1,1,2,0,0
1,43,7,1,1,apartment,2,1,1,365,1,0,0,0,0,40,96,1,0.38,Bang Kho laen,1,23.1,0,0,3121,792,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,3.139832617527748,6.674561391814426,8.045908742270779,0.6931471805599453,0.4804530139182014,8,1,2,2,0,0,0,0,3,3,1,1,2,0,0
1,43,7,1,1,apartment,2,1,1,365,1,0,0,0,0,14,87,1,0.14,Bang Kho laen,1,23.925,0,0,3030,2610,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,3.174923937339018,7.867105500316739,8.016317898503415,0.6931471805599453,0.4804530139182014,8,1,1,2,0,0,0,0,3,3,1,1,2,0,0
1,43,7,1,1,apartment,2,1,1,1,1,0,0,0,0,122,92,1,1.19,Bang Kho laen,1,23.1,0,0,3081,452,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3.139832617527748,6.113682179832232,8.033009498596668,0.6931471805599453,0.4804530139182014,8,1,2,3,0,0,0,0,1,3,1,1,2,0,0
1,43,7,1,1,apartment,2,1,1,365,1,0,0,0,0,26,93,1,0.3,Sathon,1,23.76,0,0,2586,1510,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,3.168003494494444,7.31986492980897,7.857867559331803,0.6931471805599453,0.4804530139182014,8,1,2,2,0,0,0,0,3,3,1,1,2,0,0
1,43,7,1,1,apartment,2,1,1,200,1,0,0,0,0,45,93,1,0.45,Bang Kho laen,1,29.37,0,0,3016,721,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3.379973745210529,6.580639137284949,8.011686729127847,0.6931471805599453,0.4804530139182014,8,1,2,2,0,0,0,0,3,3,1,1,2,0,0
1,43,7,1,1,apartment,3,1,1,365,1,0,0,0,0,8,100,0,0.08,Sathon,1,38.874,0,0,2946,2736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6603256466958753,7.914252278742441,7.988203597022576,1.0986122886681098,1.206948960812582,27,1,3,2,0,0,0,0,3,3,1,1,2,0,0
1,43,7,1,1,apartment,2,1,0,1,1,0,0,0,185,60,92,1,0.58,Bang Kho laen,1,30.657,0,0,3091,368,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,3.4228610212981816,5.908082938168931,8.036249942132116,0.6931471805599453,0.4804530139182014,8,1,2,3,2,0,0,0,1,1,1,1,2,0,0
1,43,7,1,1,Other,2,1,0,2,1,0,0,0,0,38,94,1,0.38,Bang Kho laen,1,22.11,0,0,2967,999,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3.096029994869355,6.906754778648554,7.995306620290822,0.6931471805599453,0.4804530139182014,8,1,2,2,0,0,0,0,2,1,1,1,2,0,0
